Rank	NCT Number	Title	Recruitment	Study Results	Conditions	Interventions	Sponsor/Collaborators	Gender	Age Groups	Phases	Enrollment	Funded Bys	Study Types	Study Designs	Other IDs	First Received	Start Date	Completion Date	Last Updated	Last Verified	Results First Received	Acronym	Primary Completion Date	Outcome Measures	URL
1	NCT02132312	A Randomized Study in Children Ages Birth Through Three Years Undergoing Unilateral Cataract Extraction With or Without Lens Replacement	Recruiting	No Results Available	Unilateral Cataract Extraction|Congenital Cataract	Drug: OMS302|Drug: Phenylephrine HCl	Omeros Corporation	Both	Child	Phase 3	60	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)	OMS302-ILR-007	May 1, 2014	July 2014	January 2017	October 15, 2015	October 2015	No Study Results Posted	ILR7	December 2016	Intraoperative pupil diameter|Acute postoperative pain|Safety as measured by adverse events	https://ClinicalTrials.gov/show/NCT02132312
2	NCT02110212	Femtosecond Laser for Cataract Surgery	Terminated	No Results Available	Cataract	Procedure: U/S Surgery and CCC|Device: FS Laser Surgery	Abbott Medical Optics	Both	Adult|Senior	Phase 3	17	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label	OMC-C-3.0	April 8, 2014	April 2011	February 2014	June 27, 2014	June 2014	No Study Results Posted	null	December 2011	Capsulotomy Dimension|Cumulative Dissipated Energy (CDE)	https://ClinicalTrials.gov/show/NCT02110212
3	NCT01878838	The Comparison of Cataract Lasers Using the Optimedica Catalys Laser and the Alcon LenSx Laser.	Completed	No Results Available	Nuclear Sclerosis of the Lens|Posterior Subcapsular Cataract|Cortical Cataract	Procedure: Femtosecond Laser Assisted Cataract Surgery w/ Catalys Laser|Procedure: Femtosecond Laser Assisted Cataract Surgery w/ LenSx Laser	Steve H. Linn, OD|Hoopes Vision	Both	Adult|Senior		45	Other	Interventional	Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Crossover Assignment|Primary Purpose: Treatment|Masking: Single Blind (Subject)	HV-AVO1	June 12, 2013	April 2013	January 2014	August 18, 2015	August 2015	No Study Results Posted	null	December 2013	Cumulative Dissipated Energy|Complete Laser Capsulotomy	https://ClinicalTrials.gov/show/NCT01878838
4	NCT01841957	Immediate Simultaneous Bilateral Cataract Surgery	Recruiting	No Results Available	Bilateral Cataract	Procedure: ISBCS|Procedure: DSBCS	Sloan W. Rush, MD|Panhandle Eye Group, LLP	Both	Adult|Senior		2000	Other	Interventional	Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	2	April 18, 2013	April 2013	null	October 28, 2014	October 2014	No Study Results Posted	ISBCS	April 2016	Visual acuity|Recovery time and number of post-operative visits	https://ClinicalTrials.gov/show/NCT01841957
5	NCT01832311	Protein Profile of Immunoregulatory Factors in Diabetic Cataract	Completed	No Results Available	Cataract|Type 2 Diabetes Mellitus	Drug: Ketorolac	University of Zagreb	Both	Child|Adult|Senior	Phase 4	61	Other	Interventional	Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Supportive Care|Masking: Open Label	108-1080229-0142	April 5, 2013	January 2009	December 2012	April 10, 2013	April 2013	No Study Results Posted	null	December 2011	serum level of interleukin-10|serum level of monocyte chemotactic protein-1|serum level of interleukin-17|serum level of Fas ligand|serum level of vascular endothelial growth factor|level of interleukin-10 in aqueous humor|level of monocyte chemotactic protein-1 in aqueous humor|level of interleukin-17 in aqueous humor|level of Fas ligand in aqueous humor|level of vascular endothelial growth factor in aqueous humor|degree of corneal edema	https://ClinicalTrials.gov/show/NCT01832311
6	NCT02185807	Video-assisted Informed Consent for Cataract Surgery	Recruiting	No Results Available	Cataract|Surgery	Procedure: video-assisted group|Procedure: control group	 Guangzhou First Municipal People’s Hospital	Both	Child|Adult|Senior		80	Other	Interventional	Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Single Blind (Outcomes Assessor)	GZFPH-IRB-2013-087	July 7, 2014	July 2014	March 2015	February 10, 2015	February 2015	No Study Results Posted	null	March 2015	overall patients satisfaction with informed concent|The proportion of patients refusing to sign consent|A 10-question cataract surgery knowledge measure	https://ClinicalTrials.gov/show/NCT02185807
7	NCT01844258	Modified Surgical Techniques for Pediatric Cataract Treatment	Completed	No Results Available	Cataract	Procedure: Modified technique|Procedure: Traditional technique	Sun Yat-sen University	Both	Child		37	Other	Interventional	Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label	CCPMOH2010-China3	April 28, 2013	March 2013	January 2014	February 23, 2014	February 2014	No Study Results Posted	null	December 2013	Incidence of opacification of the visual axis|Visual function in eyes treated for cataract	https://ClinicalTrials.gov/show/NCT01844258
8	NCT02363530	Corneal Protect Used During Cataract Surgery	Recruiting	No Results Available	Cataract	Device: Hydroxypropyl ethylcellulose (HPMC) 2% gel	Second Affiliated Hospital, School of Medicine, Zhejiang University	Both	Adult|Senior		100	Other	Interventional	Allocation: Randomized|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Primary Purpose: Basic Science|Masking: Double Blind (Subject, Investigator)	Corneal Protect	February 5, 2015	November 2014	May 2015	February 9, 2015	February 2015	No Study Results Posted	CPUDCS	April 2015	change from baseline dry eye condition at 1 month|Intraoperative corneal clarity|change from baseline corneal damage at 1 month|Inflammation|change from baseline dry eye condition at 1 week	https://ClinicalTrials.gov/show/NCT02363530
9	NCT01998698	Monovision vs Multifocal Lens Insertion in Cataract Patients	Completed	No Results Available	Cataract	Procedure: Phacoemulsification surgery|Procedure: Phacoemulsification surgery	Democritus University of Thrace	Both	Adult|Senior		60	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label	192/19-11-2013	November 19, 2013	March 2013	September 2013	November 29, 2013	November 2013	No Study Results Posted	null	September 2013	VF14 score|Distant Visual Acuity|Near Vision visual acuity	https://ClinicalTrials.gov/show/NCT01998698
10	NCT02304900	Effect of the Color of the Intra-eye Implant in the Cataract Surgery on the Sleep	Completed	No Results Available	Cataract	Other: white implant|Other: yellow implant	University Hospital, Tours	Both	Adult|Senior	Phase 3	400	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Single Blind (Subject)	PHRI09-PJP / IOL et sommeil	November 27, 2014	December 2009	December 2012	November 27, 2014	November 2014	No Study Results Posted	IOL et sommeil	December 2011	Variation between before and 2 months after surgery sleep time|Variation between before and 2 months after surgery the number of hours of sleep|Variation between before and 2 months after surgery of the quality of sleep|Variation between before and 2 months after surgery the mood evaluation score	https://ClinicalTrials.gov/show/NCT02304900
