Rank	NCT Number	Title	Recruitment	Study Results	Conditions	Interventions	Sponsor/Collaborators	Gender	Age Groups	Phases	Enrollment	Funded Bys	Study Types	Study Designs	Other IDs	First Received	Start Date	Completion Date	Last Updated	Last Verified	Results First Received	Acronym	Primary Completion Date	Outcome Measures	URL
1	NCT02024464	Compare the Hydrus Microstent(TM) to the iStent for Lowering IOP in Glaucoma Patients Having Cataract Surgery (Hydrus III)	Recruiting	No Results Available	Primary Open Angle Glaucoma|Pseudoexfoliative Glaucoma|Pigmentary Dispersion Glaucoma	Device: Hydrus Microstent|Device: iStent Trabecular Micro Bypass	Ivantis, Inc.	Both	Adult|Senior		300	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Single Blind (Subject)	CP-10-002	December 20, 2013	August 2011	January 2017	December 27, 2013	December 2013	No Study Results Posted	Hydrus III	December 2015	Intraocular pressure at Month 12|Proportion of patients requiring supplemental medication.	https://ClinicalTrials.gov/show/NCT02024464
2	NCT02036541	AqueSys XEN 45 Glaucoma Implant in Refractory Glaucoma	Active, not recruiting	No Results Available	Glaucoma|Glaucoma, Open Angle	Device: AqueSys XEN 45 Glaucoma Implant	AqueSys, Inc.	Both	Adult|Senior	Phase 3	60	Industry	Interventional	Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	P13-001	January 13, 2014	January 2013	August 2016	February 26, 2015	February 2015	No Study Results Posted	null	February 2016	Proportion of subjects achieving a 20% or greater reduction in IOP from baseline on the same or less number of medications|Mean change in IOP from baseline	https://ClinicalTrials.gov/show/NCT02036541
3	NCT01767753	IOP Fluctuations in Patients With Primary Open-angle Glaucoma, Before and After Selective Laser Trabeculoplasty	Completed	No Results Available	Primary Open Angle Glaucoma|Pigmentary Glaucoma|Pseudoexfoliative Glaucoma	Device: Sensimed Triggerfish	Sensimed AG	Both	Adult|Senior		23	Industry	Interventional	Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label	TF-1207	January 10, 2013	November 2012	July 2014	August 25, 2014	August 2014	No Study Results Posted	null	July 2014	To evaluate the differences between the nycthemeral IOP patterns recorded with Triggerfish, during two 24-hour periods in patients with POAG, before and after SLT.|To assess IOP patterns of POAG patients during office hours|Safety and tolerability in this patient population	https://ClinicalTrials.gov/show/NCT01767753
4	NCT01840202	Ocular Blood Flow in Glaucoma Patients - the Leuven Eye Study	Completed	No Results Available	Open Angle Glaucoma|Normal Tension Glaucoma		Universitaire Ziekenhuizen Leuven	Both	Adult|Senior		770	Other	Observational	Observational Model: Case Control|Time Perspective: Cross-Sectional	S140213	April 17, 2013	February 2013	December 2014	May 28, 2015	January 2013	No Study Results Posted	null	December 2014	Comparison of the Retrobulbar Arteries Doppler Waveform between glaucoma patients and healthy controls	https://ClinicalTrials.gov/show/NCT01840202
5	NCT02356094	Posterior Cornea in Primary Open Angle Glaucoma	Recruiting	No Results Available	Glaucoma	Procedure: Pentacam	Centro Hospitalar do Baixo Vouga	Both	Adult|Senior		100	Other	Observational	Observational Model: Case Control|Time Perspective: Retrospective	CHBaixoVouga2	February 1, 2015	January 2015	April 2015	February 1, 2015	February 2015	No Study Results Posted	null	April 2015	Mean posterior corneal elevation|Mean anterior corneal elevation	https://ClinicalTrials.gov/show/NCT02356094
6	NCT01802463	Study on Ocular Blood Flow and the Orbital Cerebrospinal Fluid Pressure in Glaucoma	Completed	No Results Available	Open Angle Glaucoma|Normal Tension Glaucoma		Universitaire Ziekenhuizen Leuven	Both	Adult|Senior		197	Other	Observational	Time Perspective: Prospective	S130213	February 15, 2013	January 2013	January 2014	January 31, 2014	January 2013	No Study Results Posted	null	January 2014	Flow velocity of retrobulbar vessels	https://ClinicalTrials.gov/show/NCT01802463
7	NCT02023242	Comparing Effectiveness of the Hydrus Microstent (TM) to Two iStents to Lower IOP in Phakic Eyes	Recruiting	No Results Available	Primary Open Angle Glaucoma|Pseudoexfoliative Glaucoma|Pigmentary Glaucoma	Device: Hydrus Microstent|Device: iStent Trabecular Micro Bypass	Ivantis, Inc.	Both	Adult|Senior		150	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Single Blind (Subject)	CP-12-001	December 23, 2013	October 2012	January 2018	December 23, 2013	December 2013	No Study Results Posted	Hydrus V	December 2016	Intraocular pressure at Month 12|Medication use at 12 and 24 months	https://ClinicalTrials.gov/show/NCT02023242
8	NCT01795014	Correlation of Orbital Cerebrospinal Fluid Pressure and Retinal Venous Outflow in Primary Open-angle Glaucoma	Recruiting	No Results Available	Primary Open Angle Glaucoma|Normal Tension Glaucoma		Universitaire Ziekenhuizen Leuven	Both	Adult|Senior		90	Other	Observational	Time Perspective: Prospective	SVP0002	February 12, 2013	January 2013	April 2013	February 15, 2013	January 2013	No Study Results Posted	null	April 2013	Spontaneous venous pulsation	https://ClinicalTrials.gov/show/NCT01795014
9	NCT01864317	Assessment of Optic Nerve Radiation in Patients With Glaucoma and Ocular Hypertension by 7 Tesla Diffusion Tensor Imaging	Not yet recruiting	No Results Available	Primary Open Angle Glaucoma|Ocular Hypertension|Normal Tension Glaucoma	Device: 7-Tesla MRI|Other: Optical Coherence Tomography|Other: Heidelberg Retina Tomography|Other: Scanning Laser Polarimetry|Other: Humphrey Perimetry|Other: Applanation Tonometry	Medical University of Vienna	Both	Adult|Senior	Phase 2	120	Other	Interventional	Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Basic Science|Masking: Single Blind (Outcomes Assessor)	OPHT-220213	May 3, 2013	December 2015	October 2017	September 4, 2015	September 2015	No Study Results Posted	null	October 2017	High resolution functional and structural imaging of the visual pathway|Retinal nerve fiber thickness|Visual field test|Intraocular Pressure	https://ClinicalTrials.gov/show/NCT01864317
10	NCT02390245	Improving Glaucoma Detection and Management	Enrolling by invitation	No Results Available	Glaucoma|Glaucoma Suspect|Diabetic Retinopathy|Ocular Hypertension|Cataract|Branch Retinal Vein Occlusion|Branch Retinal Arterial Occlusion|Central Retinal Vein Occlusion|Central Retinal Artery Occlusion|Epi-retinal Membrane|Macular Degeneration|Drusen|Loss of Vision	Other: Use of patient navigation and social worker	Wills Eye|Centers for Disease Control and Prevention|Westat|Public Health Management Corporation|Philadelphia Department of Public Health (PDPH)|The Health Federation of Philadelphia|Crozer-Keystone Health System|Temple Physicians Inc.	Both	Adult|Senior		300	Other|U.S. Fed	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single Blind (Subject)	14-441	March 11, 2015	March 2015	December 2019	March 11, 2015	March 2015	No Study Results Posted	null	June 2016	To estimate the positive predictive value (PPV) of the teleophthalmology intervention for diagnosing of glaucoma|Attendance at recommended follow-up visits (Visit 4 and later)	https://ClinicalTrials.gov/show/NCT02390245
