Rank	NCT Number	Title	Recruitment	Study Results	Conditions	Interventions	Sponsor/Collaborators	Gender	Age Groups	Phases	Enrollment	Funded Bys	Study Types	Study Designs	Other IDs	First Received	Start Date	Completion Date	Last Updated	Last Verified	Results First Received	Acronym	Primary Completion Date	Outcome Measures	URL
1	NCT02153515	Treating Dry Eyes and Corneal Ulcers With Fingerprick Autologous Blood	Enrolling by invitation	No Results Available	Dry Eyes|Sjogren's Disease With Dry Eyes|Persistent Corneal Epithelial Defects|Chronic Corneal Ulcers	Other: Your own ( autologous) finger prick of blood produced with a diabetic lancet	Bedford Hospital NHS Trust|Moorfields Eye Hospital NHS Foundation Trust|The Mater Infirmary Hospital Belfast, UK.|Milton Keynes General NHS Trust|Heart of England NHS Trust|University Hospitals Bristol NHS Foundation Trust|Birmingham Midland Eye Centre, UK	Both	Child|Adult|Senior	Phase 3	60	Other	Interventional	Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	426/2014/340	May 2, 2014	April 2014	August 2016	May 30, 2014	May 2014	No Study Results Posted	FAB	February 2016	Corneal ulcers / epithelial defects: Ulcers to heal within 4 weeks. Dry eyes: To improve signs (corneal and conjunctival staining, Schirmer's test, tear break up time ) or symptoms ( ocular comfort index questionnaire)	https://ClinicalTrials.gov/show/NCT02153515
2	NCT02004067	Safety Study of the Use of Topical Cyclosporine in the Treatment of Dry Eye Disease	Active, not recruiting	No Results Available	Primary Sjogren Syndrome|Secondary Sjogren Syndrome|Aqueous Deficient Dry Eye Disease|Evaporative Dry Eye Disease	Drug: Restasis|Drug: Refresh Endura	Federal University of São Paulo|Allergan	Both	Adult	Phase 4	100	Other|Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Investigator)	CAAE: 17821013.0.0000.5505	December 3, 2013	January 2013	February 2016	August 10, 2015	August 2015	No Study Results Posted	null	November 2015	Ocular surface inflammation	https://ClinicalTrials.gov/show/NCT02004067
3	NCT02188160	Safety and Efficacy of KPI-121 in Subjects With Dry Eye Disease	Completed	No Results Available	Dry Eye Syndromes|Keratoconjunctivitis Sicca	Drug: KPI-121	Kala Pharmaceuticals, Inc.	Both	Adult|Senior	Phase 2	150	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)	KPI-121-C-002	July 9, 2014	June 2014	March 2015	March 30, 2015	March 2015	No Study Results Posted	Kauai	January 2015	Bulbar Conjunctival Hyperemia|Ocular Discomfort	https://ClinicalTrials.gov/show/NCT02188160
4	NCT02210793	Dry Eye Evaluation After Transepithelial PRK	Completed	No Results Available	Dry Eye	Procedure: transepithelial PRK|Procedure: LASIK	AL-Nour Eye Hospital	Both	Adult		40	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Screening|Masking: Open Label	ANH-1|ANH-TPRK1	August 2, 2014	April 2012	March 2013	August 5, 2014	August 2014	No Study Results Posted	null	March 2013	qualitative assessment of dry eye syndrome|quantitative of dry eye after surgery|haze	https://ClinicalTrials.gov/show/NCT02210793
5	NCT01988597	Dry Eye Symptoms and Quality of Life	Completed	No Results Available	Dry Eyes	Other: Dry eyes	Singapore National Eye Centre	Both	Adult|Senior		200	Other	Observational	Observational Model: Case Control|Time Perspective: Cross-Sectional	R1047/62/2013|2013/595/A	November 13, 2013	September 2013	April 2014	June 9, 2014	June 2014	No Study Results Posted	null	April 2014	• Difference in SPEED Questionnaire and SANDE Questionnaire that affects patient health related quality of life (HRQOL)|• Difference in both (SPEED and SANDE) questionnaires and utility values that affects patient health related quality of life (HRQOL)|Production of Tear flow|Tear break up time (TBUT)|Corneal flourescein staining	https://ClinicalTrials.gov/show/NCT01988597
6	NCT02051023	Efficacy and Safety of Fluorometholone (FML) in Dry Eye Disease (Keratoconjunctivitis Sicca)	Completed	No Results Available	Dry Eye	Drug: FML 0.1% eyedrops|Drug: Liquifilm artificial tears eyedrops	Instituto Universitario de Oftalmobiología Aplicada	Both	Adult|Senior	Phase 3	41	Other	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Investigator)	IOBA-CERLAB-003-2013	January 22, 2014	February 2014	December 2014	January 7, 2015	January 2015	No Study Results Posted	FML	December 2014	Fluorescein corneal staining|Symptom Assessment in Dry Eye (SANDE) I and II questionnaire|Tear inflammatory molecule levels|Best corrected visual acuity|Biomicroscopy findings at slit lamp examination|Adverse events during the trial|Other Efficacy Measures|Intraocular pressure (IOP) and fundus examination	https://ClinicalTrials.gov/show/NCT02051023
7	NCT01880463	Dry Eye Disease in the Vitamin D and Omega-3 Trial (VITAL)	Active, not recruiting	No Results Available	Dry Eye Disease	Drug: Omega-3 fatty acids (fish oil)|Dietary Supplement: Vitamin D3	Brigham and Women's Hospital|National Eye Institute (NEI)	Both	Adult|Senior		25875	Other|NIH	Interventional	Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Factorial Assignment|Primary Purpose: Prevention|Masking: Double Blind (Subject, Investigator, Outcomes Assessor)	2012P001332|R01EY022663	June 15, 2013	July 2010	October 2017	May 29, 2014	May 2014	No Study Results Posted	null	October 2017	Dry Eye Disease	https://ClinicalTrials.gov/show/NCT01880463
8	NCT02306668	Ocular Surface Dry Eye Microbiome	Recruiting	No Results Available	Dry Eyes		University of Washington	Both	Adult|Senior		80	Other	Observational	Observational Model: Case Control|Time Perspective: Prospective	46093-B	December 1, 2014	February 2014	December 2016	December 2, 2014	December 2014	No Study Results Posted	null	December 2016	Identification of bacteria or fungus from conjunctival swab	https://ClinicalTrials.gov/show/NCT02306668
9	NCT02218827	Topical Steroid Treatment For Dry Eye	Not yet recruiting	No Results Available	Dry Eye	Drug: Loteprednol Etabonate (FML)	Meir Medical Center	Both	Adult|Senior		30	Other	Interventional	Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	dry eye01	August 14, 2014	September 2014	September 2015	August 14, 2014	August 2014	No Study Results Posted	null	September 2015	clinical improvement in dry eye measurements|symptomatic improvement	https://ClinicalTrials.gov/show/NCT02218827
10	NCT02116244	Civamide Nasal Solution for Dry Eye	Recruiting	No Results Available	Dry Eye	Drug: Civamide Nasal Spray	Winston Laboratories	Both	Adult|Senior	Phase 2	20	Industry	Interventional	Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	WL-1001-08-02	April 14, 2014	May 2014	October 2015	June 2, 2015	September 2014	No Study Results Posted	null	September 2015	Schirmer Test	https://ClinicalTrials.gov/show/NCT02116244
