Rank	NCT Number	Title	Recruitment	Study Results	Conditions	Interventions	Sponsor/Collaborators	Gender	Age Groups	Phases	Enrollment	Funded Bys	Study Types	Study Designs	Other IDs	First Received	Start Date	Completion Date	Last Updated	Last Verified	Results First Received	Acronym	Primary Completion Date	Outcome Measures	URL
1	NCT02571972	Dorzolamide-timolol Eye Drops Given With Eye Injections to Treat Age-related Macular Degeneration	Completed	No Results Available	Wet Macular Degeneration|Age-related Macular Degeneration	Drug: Dorzolamide-timolol	Wills Eye|J. Arch McNamara Research Fund|Mid Atlantic Retina	Both	Adult|Senior	Phase 2	15	Other	Interventional	Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	IRB#14-435	October 6, 2015	October 2014	September 2015	October 6, 2015	October 2015	No Study Results Posted	null	September 2015	Mean central macular thickness (CMT)|Visual acuity|Maximum subretinal fluid height|Maximum pigment epithelial detachment height	https://ClinicalTrials.gov/show/NCT02571972
2	NCT01773954	Repeated Eye Injections of Aflibercept for Treatment of Wet Age Related Macular Degeneration	Active, not recruiting	No Results Available	Age-Related Macular Degeneration|Macular Degeneration	Drug: Intravitreal Aflibercept Injection More|Drug: Intravitreal Aflibercept Injection Less	Brian Burke, MPH|Regeneron Pharmaceuticals|Wills Eye	Both	Adult|Senior		40	Other|Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label	ATLAS|20122054	January 17, 2013	December 2012	November 2014	May 27, 2014	May 2014	No Study Results Posted	ATLAS	November 2014	Mean change in best-corrected Early Treatment Diabetic Retinopathy Study (ETDRS) letter score|Percentage of eyes with complete resolution of macular fluid on OCT	https://ClinicalTrials.gov/show/NCT01773954
3	NCT02140151	Prophylactic Ranibizumab for Exudative Age-related Macular Degeneration	Recruiting	No Results Available	Age-related Macular Degeneration	Drug: Ranibizumab 0.5mg	Southern California Desert Retina Consultants, MC	Both	Adult|Senior	Phase 1|Phase 2	100	Other	Interventional	Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Single Blind (Outcomes Assessor)	ML29258	April 25, 2014	September 2014	September 2017	May 22, 2015	May 2015	No Study Results Posted	PREVENT	September 2017	Development of exudative AMD|Vision change|Vision loss|Number of injections|Baseline predictive factors|Development of geographic atrophy (GA)|Ocular adverse events|Systemic adverse events	https://ClinicalTrials.gov/show/NCT02140151
4	NCT02204683	A Pharmacokinetic Study of Intravitreal Aflibercept Injection in Vitrectomized and Non-vitrectomized Eyes With Wet Age-related Macular Degeneration (DRAW).	Recruiting	No Results Available	Neovascular Macular Degeneration	Drug: Aflibercept	University of Nebraska|Regeneron Pharmaceuticals	Both	Adult|Senior	Phase 1	15	Other|Industry	Interventional	Allocation: Non-Randomized|Endpoint Classification: Pharmacokinetics Study|Intervention Model: Single Group Assignment|Masking: Open Label	334-14-FB	July 28, 2014	July 2014	July 2017	August 11, 2015	August 2015	No Study Results Posted	DRAW	July 2016	Pharmacokinetic (PK) aflibercept aqueous|PK Aflibercept plasma	https://ClinicalTrials.gov/show/NCT02204683
5	NCT02541084	Caregiver Burden of Wet Age-related Macular Degeneration (wAMD) in Japan	Recruiting	No Results Available	Wet Macular Degeneration	Drug: Aflibercept (Eylea, VEGF Trap-Eye, BAY86-5321)	Bayer	Both	Child|Adult|Senior		200	Industry	Observational	Observational Model: Cohort|Time Perspective: Prospective	17945	August 5, 2015	August 2015	January 2016	October 8, 2015	October 2015	No Study Results Posted	null	December 2015	Burden Index of Caregivers (BIC-11)|Co-relation between score of BIC11 and the number of Medical Visits|Frequency of medical visits by caregivers|Time spent by accompanying caregivers for a clinic visit for wAMD management (minutes)|Estimated costs spent by accompanying caregivers on hospital visits for wAMD management|Center for Epidemiologic Studies Depression Scale (CES-D) Score|Types of treatments for wAMD|Frequency of treatments|Length of treatment|Dosing schedule	https://ClinicalTrials.gov/show/NCT02541084
6	NCT02222207	Regorafenib Eye Drops: Investigation of Efficacy and Safety in Neovascular Age Related Macular Degeneration	Completed	No Results Available	Macular Degeneration	Drug: Regorafenib, ophthalmic oily suspension (BAY73-4506)|Procedure: Sham IVT|Drug: Ranibizumab|Drug: Placebo	Bayer	Both	Adult|Senior	Phase 2	52	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)	15984|2012-003763-22	August 20, 2014	October 2014	June 2015	August 14, 2015	August 2015	No Study Results Posted	DREAM	May 2015	Change in BCVA (Best corrected visual acuity) from baseline to week 4 for study part A|Change in BCVA from baseline to week 12 for study part A|Change in BCVA from baseline to week 4 for study part B|Change in BCVA from baseline to week 12 for study part B|Proportion of subjects with individual changes in BCVA of ≥ 0 letters of vision for study part A|Proportion of subjects with a loss of ≥ 10 letters for study part A|Proportion of subjects with individual changes in BCVA of ≥ 0 letters of vision for study part B|Proportion of subjects with a loss of ≥ 10 letters for study part B	https://ClinicalTrials.gov/show/NCT02222207
7	NCT02060604	Pilot Study of Ranibizumab With and Without Ketorolac Eyedrops for Exudative Age-related Macular Degeneration	Completed	No Results Available	Wet Macular Degeneration	Drug: Ketorolac + Ranibizumab|Drug: Ranibizumab	Università degli Studi di Brescia	Both	Adult|Senior	Phase 4	60	Other	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label	NSAIDs_01	February 8, 2014	December 2012	January 2014	February 8, 2014	February 2014	No Study Results Posted	null	January 2014	mean change in study eye visual acuity as measured by the best-corrected ETDRS letter score|mean change in central macular thickness|mean number of intravitreal injections over the 12-month period|adverse ocular events at 12 months	https://ClinicalTrials.gov/show/NCT02060604
8	NCT02540954	Efficacy and Safety of Two Different Aflibercept Regimens in Subjects With Neovascular Age-related Macular Degeneration (nAMD)	Not yet recruiting	No Results Available	Macular Degeneration	Drug: Aflibercept (Eylea, VEGF Trap-Eye, BAY86-5321)	Bayer	Both	Adult|Senior	Phase 3	330	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label	16598|2013-000120-33	September 2, 2015	September 2015	June 2018	September 30, 2015	September 2015	No Study Results Posted	null	June 2018	Change in Early Treatment Diabetic Retinopathy Study best corrected visual acuity (EDTRS BCVA) letter score for the study eye|Number of participants with adverse events as measure of safety and tolerability|Proportion of subjects maintaining vision (i.e. loss of < 15 letters) in the study eye|Proportion of subjects who gained from baseline ≥ 5 letters in the study eye|Mean change from baseline in central retinal thickness (CRT) in the study eye|Mean change from baseline in choroidal neovascularization (CNV) area in the study eye|Proportion of subjects who lost ≥ 30 letters|Mean change from baseline in total score for National Eye Institute 25-item Visual Function Questionnaire (NEI VFQ-25)	https://ClinicalTrials.gov/show/NCT02540954
9	NCT02305238	Japanese Treat and Extend Study of Aflibercept in Neovascular Age-related Macular Degeneration	Recruiting	No Results Available	Wet Macular Degeneration	Drug: Aflibercept (Eylea, VEGF Trap-Eye, BAY86-5321)	Bayer|Regeneron Pharmaceuticals	Both	Adult|Senior	Phase 4	250	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label	17668	November 28, 2014	December 2014	December 2017	October 8, 2015	October 2015	No Study Results Posted	ALTAIR	December 2016	Mean change from baseline in best-corrected visual acuity (BCVA) as measured by Early Treatment Diabetic Retinopathy Study(ETDRS) letter score at week 52|Proportion of subjects who maintain vision at Week 52|Proportion of subjects who gain at least 15 letters of vision compared to baseline at Week 52|Mean change in Central Retinal Thickness (CRT) from baseline at Week 52|Proportion of subjects without fluid on Optical coherence tomography (OCT) at Week 52|Number of participants with adverse events as a measure of safety and tolerability	https://ClinicalTrials.gov/show/NCT02305238
10	NCT02348359	X-82 to Treat Age-related Macular Degeneration	Recruiting	No Results Available	Age-Related Macular Degeneration (AMD)|Macular Degeneration|Exudative Age-related Macular Degeneration|AMD|Macular Degeneration, Age-related, 10|Eye Diseases|Retinal Degeneration|Retinal Diseases	Drug: X-82|Drug: Aflibercept|Drug: Placebo	Tyrogenex	Both	Adult|Senior	Phase 2	132	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)	X82-OPH-201	January 21, 2015	March 2015	November 2016	May 15, 2015	May 2015	No Study Results Posted	null	October 2016	Mean Change in Visual Acuity Score From Day -1 to Week52	https://ClinicalTrials.gov/show/NCT02348359
11	NCT01835067	Intravitreal tPA and C3F8 for the Treatment of Submacular Haemorrhage as a Complication of Neovascular Age-related Macular Degeneration	Recruiting	No Results Available	Exudative Macular Degeneration|Retinal Hemorrhage	Drug: Ranibizumab|Drug: C3F8 Gas|Drug: tPA	King's College Hospital NHS Trust	Both	Adult|Senior	Phase 2|Phase 3	55	Other	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Investigator)	EudraCT Number: 2012-004078-24	April 16, 2013	September 2013	November 2017	August 14, 2015	July 2015	No Study Results Posted	TAPAS	November 2017	Mean ETDRS visual acuity|Percentage patients 15 letters or greater improvement in ETDRS visual acuity|Percentage patients 0 letters or greater improvement in ETDRS visual acuity|Percentage patients 15 letters or greater loss in ETDRS visual acuity|Mean total area of macular haemorrhage on colour fundus photography|Greatest linear dimension of macular haemorrhage on colour fundus photography|Presence of subfoveal blood on colour fundus photography	https://ClinicalTrials.gov/show/NCT01835067
12	NCT02157077	Aflibercept After Ranibizumab in Exudative Age-related Macular Degeneration	Active, not recruiting	No Results Available	Macular Degeneration|Wet Macular Degeneration|Retinal Degeneration|Retinal Diseases|Eye Diseases	Drug: Aflibercept	Centre Hospitalier Intercommunal Creteil|Bayer	Both	Adult|Senior	Phase 3	90	Other|Industry	Interventional	Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	CHIC-ARI2|2013-002869-19	March 2, 2014	December 2013	December 2015	September 21, 2015	September 2015	No Study Results Posted	ARI2	December 2015	Change from baseline in maximal height of pigment epithelium detachment (PED) at 12 weeks|Change from baseline in central retinal thickness by SD OCT at 12 weeks|Change from Baseline in visual acuity at 12 weeks|Change from Baseline in volume of pigment epithelium detachment at 12 weeks|Association with genes involved in AMD history|Number of participants with adverse events from baseline to 32 weeks|Change from Baseline in pigment epithelium detachment height at 12 weeks|Change from baseline in central retinal thickness at 32 weeks|Change from Baseline in pigment epithelium detachment height at 32 weeks|Change from Baseline in visual acuity at 32 weeks|Change from Baseline in volume of pigment epithelium detachment at 32 weeks	https://ClinicalTrials.gov/show/NCT02157077
13	NCT02540369	Study to Assess the Treatment Patterns of Physicians Prescribing Eylea to Treat Wet Age-related Macular Degeneration and Diabetic Macular Edema in Clinics Across Canada	Not yet recruiting	No Results Available	Wet Macular Degeneration	Drug: Aflibercept (Eylea, VEGF Trap-Eye, BAY86-5321)	Bayer	Both	Adult|Senior		2000	Industry	Observational	Observational Model: Cohort|Time Perspective: Prospective	17995	August 5, 2015	October 2015	May 2018	September 28, 2015	September 2015	No Study Results Posted	PEGASUS	September 2017	Mean change of visual acuity|Mean change in Retinal thickness|Treatment patterns used in routine clinical practice setting|Number of injections at 12 months|Time to achieve stability|Presence/absence of pigment epithelial detachment (PED) (Y/N)|Proportion of patients with no fluid determined by Optical coherence tomography (OCT) at 4 months and 12 months|Maximum treatment interval|Mean time between injections|Number of participants with adverse events as a measure of safety and tolerability|In the switch subpopulation duration of previous treatments|In the switch subpopulation reason to switch to Eylea|Number of patients require adjunctive therapies|Number of injections in a year to acheive stability|In the switch subpopulation type of previous treatments	https://ClinicalTrials.gov/show/NCT02540369
14	NCT02555306	A Phase I/II Safety, Tolerability, Immunogenicity, and Bioactivity Study of DE-122 Injectable Solution for Refractory Exudative Age-related Macular Degeneration	Recruiting	No Results Available	Age-Related Macular Degeneration	Drug: DE-122	Santen Inc.	Both	Adult|Senior	Phase 1|Phase 2	12	Industry	Interventional	Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	36-001	September 13, 2015	September 2015	August 2016	October 6, 2015	October 2015	No Study Results Posted	null	August 2016	Number of subjects with adverse events|Change from Baseline in central subfield thickness (CST)|Change from Baseline in macular volume|Change from Baseline in Best Corrected Visual Acuity	https://ClinicalTrials.gov/show/NCT02555306
15	NCT01833325	Proton Radiation Therapy for Macular Degeneration	Recruiting	No Results Available	Age-Related Macular Degeneration	Radiation: Proton radiation	University of Florida	Both	Adult|Senior	Phase 1	10	Other	Interventional	Endpoint Classification: Safety Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	UFPTI 1206-EY01	March 27, 2013	May 2013	March 2018	October 14, 2015	October 2015	No Study Results Posted	null	March 2018	Number of participants with acute and late morbidity of the eye as a measure of safety|Number of participants with cessation of growth of neovascular membranes.|Visual acuity per comprehensive eye exam|Frequency of intravitreal injections following radiation treatment	https://ClinicalTrials.gov/show/NCT01833325
16	NCT02530918	Study of DS-7080a for the Treatment of Neovascular Age-Related Macular Degeneration	Recruiting	No Results Available	Neovascular Age-Related Macular Degeneration	Drug: DS-7080a|Drug: Ranibizumab	Daiichi Sankyo Inc.	Both	Adult|Senior	Phase 1	45	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label	DS7080-A-U101	August 17, 2015	July 2015	June 2017	August 24, 2015	August 2015	No Study Results Posted	null	March 2017	Number and severity of adverse events|Best Corrected Visual Acuity (BCVA) score|DS-7080a reduction in retinal thickness and volume|DS-7080a reduction in retinal leakage|DS-7080a plasma concentrations	https://ClinicalTrials.gov/show/NCT02530918
17	NCT02564978	Evaluation of Oral Minocycline in the Treatment of Geographic Atrophy Associated With Age-Related Macular Degeneration	Recruiting	No Results Available	Age- Related Macular Degeneration	Drug: Minocycline|Other: Placebo	National Eye Institute (NEI)|National Institutes of Health Clinical Center (CC)	Both	Adult|Senior	Phase 2	66	NIH	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Investigator)	150202|15-EI-0202	September 30, 2015	September 2015	March 2019	September 30, 2015	September 2015	No Study Results Posted	null	June 2017	Rate of change in area of GA based on masked grading by an external Reading Center of fundus autofluorescence (FAF) images in the assigned study eye.|Number and severity of adverse events (AEs).|Ocular safety outcomes will be indicated by changes in VA, ocular surface changes, intraocular inflammation and any other ocular changes not consistent with the natural progression of GA.|Changes in best-corrected visual acuity (BCVA), changes in low-luminance VA, rate of change in area of GA based on fundus photography, development of exudative AMD ascertained using optical coherence tomography (OCT), and changes in macular sens...	https://ClinicalTrials.gov/show/NCT02564978
18	NCT02355028	LHA510 Proof-of-Concept Study as a Maintenance Therapy for Patients With Wet Age-Related Macular Degeneration	Recruiting	No Results Available	Exudative Age-Related Macular Degeneration	Drug: LHA510 ophthalmic suspension|Drug: LHA510 vehicle|Drug: Ranibizumab ophthalmic solution	Alcon, a Novartis Company|Alcon Research	Both	Adult|Senior	Phase 2	60	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Investigator)	LHA510-2201	January 28, 2015	March 2015	April 2016	September 25, 2015	September 2015	No Study Results Posted	null	April 2016	Number of patients requiring Lucentis® retreatment before or at Day 84|Time to first injection of Lucentis® required up to Day 84|Number of Lucentis® injections required up to Day 84|Change from Eligibility (Day -1) in central subfield thickness total (CSFTtot) at each visit|Change from Eligibility (Day -1) in Best Corrected Visual Acuity (BCVA) at each visit|Change from Eligibility (Day -1) in central retinal lesion thickness (CRLT) at each visit|Change from Eligibility (Day -1) in lesion thickness at each visit|Change from Eligibility (Day -1) in subretinal fluid - foveal involvement (SRFfi) thickness at each visit|Change from Eligibility (Day -1) in pigment epithelial detachment - foveal involvement (PEDfi) thickness at each visit|Change from Eligibility (Day -1) in total lesion size at each visit|Change from Eligibility (Day -1) in CNV size at each visit|The observed maximum plasma (or serum or blood) concentration following drug administration [mass / volume] (Cmax)	https://ClinicalTrials.gov/show/NCT02355028
19	NCT01918878	Aflibercept (EYLEA)as Secondary or Third Line Treatment for Neovascular Age-related Macular Degeneration.	Active, not recruiting	No Results Available	Neovascular Age-related Macular Degeneration	Drug: Aflibercept (EYLEA)	Hadassah Medical Organization|Bayer	Both	Adult|Senior	Phase 4	48	Other|Industry	Interventional	Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	CHO123-HMO-CTIL	August 7, 2013	October 2013	December 2015	September 20, 2015	September 2015	No Study Results Posted	null	December 2015	Central macular thickness change|change in best corrected Early Treatment Diabetic Retinopathy Study (ETDRS) visual acuity and Change in CNV size	https://ClinicalTrials.gov/show/NCT01918878
20	NCT02224963	Macular Degeneration and Aging Study	Active, not recruiting	No Results Available	Age-related Macular Degeneration	Behavioral: Preventive Problem-Solving Training|Behavioral: Life and Health Review	University of Rochester|Dartmouth-Hitchcock Medical Center|Association for the Blind and Visually Impaired	Both	Adult|Senior		250	Other	Interventional	Allocation: Randomized|Intervention Model: Factorial Assignment|Primary Purpose: Prevention|Masking: Double Blind (Subject, Outcomes Assessor)	AG 032032	July 3, 2014	May 2009	June 2017	December 2, 2014	December 2014	No Study Results Posted	MADAS	June 2016	Psychological Well-being|Change in Preparation for Future Care|Preparation for Future Care	https://ClinicalTrials.gov/show/NCT02224963
21	NCT01831947	Efficacy Study of Ranibizumab on Patients With Age-related Macular Degeneration.	Completed	No Results Available	Macular Degeneration	Biological: Ranibizumab	Institut fuer anwendungsorientierte Forschung und klinische Studien GmbH|Novartis Pharmaceuticals|University Medical Center Goettingen	Both	Adult|Senior	Phase 4	40	Other|Industry	Interventional	Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label	CRFB002ADE09T	April 11, 2013	April 2010	March 2013	April 11, 2013	April 2013	No Study Results Posted	RABIMO	March 2013	best-corrected visual acuity|Fluoresceinangiography|Photography|optical coherence tomography (OCT)|number of injections|quality of life	https://ClinicalTrials.gov/show/NCT01831947
22	NCT01782352	Age-related Macular Degeneration (AMD) in the Vitamin D and Omega-3 Trial (VITAL)	Active, not recruiting	No Results Available	Age-related Macular Degeneration	Drug: Omega-3 fatty acids (fish oil)|Dietary Supplement: Vitamin D3|Dietary Supplement: Vitamin D3 placebo|Dietary Supplement: Fish oil placebo	Brigham and Women's Hospital|National Eye Institute (NEI)	Both	Adult|Senior		25875	Other|NIH	Interventional	Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Factorial Assignment|Primary Purpose: Prevention|Masking: Double Blind (Subject, Investigator, Outcomes Assessor)	2012P001797|R01EY021900|2012P000724	January 31, 2013	July 2010	October 2017	May 29, 2014	May 2014	No Study Results Posted	null	October 2017	Age-related macular degeneration	https://ClinicalTrials.gov/show/NCT01782352
23	NCT02452840	Photodynamic Therapy for PDA in NV AMD	Recruiting	No Results Available	Neovascular Age-related Macular Degeneration|Macular Degeneration	Other: No Intervention	Duke University|Bausch & Lomb Incorporated	Both	Adult|Senior		100	Other|Industry	Observational	Observational Model: Cohort|Time Perspective: Prospective	Pro00057705	May 21, 2015	October 2014	October 2021	May 21, 2015	May 2015	No Study Results Posted	null	October 2016	Percentage of subjects with resolution of PDA|Mean change in best-corrected ETDRS visual acuity from baseline|Percentage of subjects with 2-line ETDRS visual acuity gain from baseline|Percentage of subjects with 2-line ETDRS visual acuity loss from baseline|Mean change in central foveal thickness by SD-OCT from baseline|Mean change in choroidal neovascularization lesion size by fluorescein angiography from baseline	https://ClinicalTrials.gov/show/NCT02452840
24	NCT02024269	Study to Assess the Safety and Effects of Cells Injected Intravitreal in Dry Macular Degeneration	Withdrawn	No Results Available	Dry Macular Degeneration	Biological: Adipose Derived Stem Cells	Bioheart, Inc.	Both	Adult|Senior		0	Industry	Interventional	Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	ADI-US-AMD-001	December 17, 2013	December 2013	June 2017	September 15, 2015	September 2015	No Study Results Posted	null	December 2016	frequency and nature of adverse events|Visual Field analysis (10-2)|Visual Acuity Measurements|Intraocular pressure	https://ClinicalTrials.gov/show/NCT02024269
