Rank	NCT Number	Title	Recruitment	Study Results	Conditions	Interventions	Sponsor/Collaborators	Gender	Age Groups	Phases	Enrollment	Funded Bys	Study Types	Study Designs	Other IDs	First Received	Start Date	Completion Date	Last Updated	Last Verified	Results First Received	Acronym	Primary Completion Date	Outcome Measures	URL
1	NCT02255032	Suprachoroidal Injection of Triamcinolone Acetonide in Subjects With Macular Edema Following Non-Infectious Uveitis	Active, not recruiting	No Results Available	Uveitis|Macular Edema|Uveitis, Posterior|Uveitis, Anterior|Panuveitis|Uveitis, Intermediate	Drug: 4 mg CLS-TA|Drug: 0.8 mg CLS-TA	Clearside Biomedical, Inc.	Both	Adult|Senior	Phase 2	28	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator)	CLS1001-201	September 30, 2014	October 2014	null	October 12, 2015	October 2015	No Study Results Posted	DOGWOOD	December 2015	Change from baseline in central subfield thickness, measured using optical coherence tomography, after treatment with CLS-TA in subjects with macular edema following uveitis	https://ClinicalTrials.gov/show/NCT02255032
2	NCT01789320	Safety Study of Suprachoroidal Triamcinolone Acetonide Via Microneedle to Treat Uveitis	Completed	No Results Available	Uveitis|Intermediate Uveitis|Posterior Uveitis|Panuveitis|Noninfectious Uveitis	Drug: triamcinolone acetonide (Triesence®)	Clearside Biomedical, Inc.	Both	Adult|Senior	Phase 1|Phase 2	11	Industry	Interventional	Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	CLS1001-101	February 5, 2013	February 2013	March 2015	August 31, 2015	August 2015	No Study Results Posted	null	March 2015	Incidence of adverse events|Central subfield thickness using optical coherence tomography (OCT)|Vitreous haze grade|Change in intraocular pressure (IOP)	https://ClinicalTrials.gov/show/NCT01789320
3	NCT01905124	Safety &Efficacy of CF101 to Subjects With Uveitis	Not yet recruiting	No Results Available	Uveitis, Posterior|Uveitis, Intermediate	Drug: CF101|Drug: Placebo	Can-Fite BioPharma	Both	Adult|Senior	Phase 2	45	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)	CF101-241UV	July 14, 2013	September 2015	October 2016	July 30, 2014	July 2014	No Study Results Posted	null	September 2016	Severity of uveitis on standardized photographic assessment|Safety of CF101	https://ClinicalTrials.gov/show/NCT01905124
4	NCT02049476	Study of the Effectiveness of Ozurdex for the Control of Uveitis	Recruiting	No Results Available	Uveitis, Intermediate|Uveitis, Posterior	Drug: Dexamethasone pellet	Johns Hopkins University|Allergan	Both	Adult|Senior	Phase 4	20	Other|Industry	Interventional	Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	IIT-000443	January 27, 2014	January 2014	December 2016	January 28, 2014	January 2014	No Study Results Posted	null	June 2016	Control of intraocular inflammation	https://ClinicalTrials.gov/show/NCT02049476
5	NCT02357238	Genetics of Uveitis	Recruiting	No Results Available	Uveitis|Infectious Uveitis		The Cleveland Clinic	Both	Child|Adult|Senior		1500	Other	Observational	Observational Model: Case Control|Time Perspective: Prospective	11-087	February 3, 2015	January 2011	null	February 5, 2015	February 2015	No Study Results Posted	null	January 2018	Non infectious uveitis|Infectious uveitis	https://ClinicalTrials.gov/show/NCT02357238
6	NCT02258867	Efficacy and Safety Study of Gevokizumab to Treat Behcet's Disease Uveitis	Terminated	No Results Available	Behcet's Disease Uveitis	Drug: Placebo|Drug: Gevokizumab	XOMA (US) LLC	Both	Adult|Senior	Phase 3	4	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)	X052133	October 2, 2014	November 2014	November 2015	October 14, 2015	October 2015	No Study Results Posted	EYEGUARD™-US	October 2015	Time to first ocular exacerbation	https://ClinicalTrials.gov/show/NCT02258867
7	NCT02125266	Safety and Preliminary Efficacy Study of V404 PDS in Uveitis	Terminated	No Results Available	Uveitis, Posterior|Uveitis, Intermediate	Drug: V404	Forsight Vision4	Both	Adult|Senior	Phase 1|Phase 2	7	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Single Blind (Outcomes Assessor)	V4041	April 24, 2014	April 2014	March 2015	March 4, 2015	March 2015	No Study Results Posted	null	March 2015	Frequency of adverse events|Change in vitreous haze score	https://ClinicalTrials.gov/show/NCT02125266
8	NCT02406209	A Safety and Efficacy Study of NS2 in Patients With Anterior Uveitis	Recruiting	No Results Available	Non-infectious Anterior Uveitis	Drug: NS2|Drug: Prednisolone acetate ophthalmic suspension (1%)	Aldeyra Therapeutics, Inc.	Both	Adult|Senior	Phase 2	45	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Caregiver, Investigator, Outcomes Assessor)	NS2-02	March 26, 2015	March 2015	June 2016	October 1, 2015	October 2015	No Study Results Posted	null	April 2016	Grade of anterior chamber cell count measured by slit lamp examination. The primary outcome is not specifically defined however anterior uveitis clinical outcomes will be measured.|Grade of anterior chamber flare measured by slit lamp examination|Grade of limbal injection measured by slit lamp examination|Grade of hypopion measured by slit lamp examination|Grade of peripheral anterior synechiae measured by slit lamp examination|Grade of keratic precipitates measured by slit lamp examination|Grade of posterior synechiae measured by slit lamp examination|Ocular pain score on the visual analog scale|Visual acuity measured by a standardized eye chart (ETDRS or Snellen)|Number of subjects with treatment emergent adverse events as a measure of safety and tolerability	https://ClinicalTrials.gov/show/NCT02406209
9	NCT02309385	Safety and Efficacy Study of DSP-Visulex for the Treatment of Anterior Uveitis	Recruiting	No Results Available	Non-Infectious Anterior Uveitis	Drug: 8% Dexamethasone Sodium Phosphate - Visulex|Drug: 15% Dexamethasone Sodium Phosphate - Visulex|Drug: Prednisolone Acetate (1%) Eye Drops	Aciont Inc|National Eye Institute (NEI)	Both	Adult|Senior	Phase 1|Phase 2	45	Other|NIH	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)	DSPV-201|R44EY014772	December 1, 2014	October 2014	March 2016	September 24, 2015	September 2015	No Study Results Posted	null	December 2015	Proportion of patients with anterior chamber cell ACC grade of zero|Number of patients with treatment-emergent adverse events|Proportion of patients with no uveitis symptoms|Proportion of patients with improvement in visual acuity|Change from baseline in anterior chamber cell (ACC) grade	https://ClinicalTrials.gov/show/NCT02309385
10	NCT01983488	Clinical Outcome in Uveitis	Active, not recruiting	No Results Available	Uveitis		Moorfields Eye Hospital NHS Foundation Trust	Both	Child|Adult|Senior		1500	Other	Observational	Observational Model: Cohort|Time Perspective: Retrospective	LIGS10201	November 3, 2013	September 2011	December 2015	September 29, 2015	September 2015	No Study Results Posted	null	December 2015	Best Corrected Visual Acuity|Causes of visual loss	https://ClinicalTrials.gov/show/NCT01983488
